command,mean,stddev,median,user,system,min,max,parameter_N
echo 0 | python 17.py,0.145768212,0.010926822984511832,0.1427557744,0.2749411399999999,0.6272200600000002,0.1308567739,0.1730056149,0
echo 0 | python 18.py,0.14564449308181818,0.008427871255953623,0.1461796189,0.2776778945454545,0.6447293690909092,0.1308323259,0.1608743849,0
echo 100 | python 17.py,0.17975971519411765,0.008739959017965423,0.1786218519,0.3604003517647059,0.7501483717647058,0.1700063929,0.2051661709,100
echo 100 | python 18.py,0.10089557401999999,0.014827463271813428,0.0969016109,0.18881021999999997,0.3932688,0.09137301390000001,0.1656504969,100
echo 200 | python 17.py,0.340359529,0.0073172181144063085,0.33678448240000003,0.5161325400000001,0.81322316,0.3319243699,0.3518029299,200
echo 200 | python 18.py,0.1008219535060606,0.006246015184453415,0.09913276790000002,0.1939480612121212,0.40901574787878786,0.0891601439,0.11742856790000002,200
echo 300 | python 17.py,0.6331538498000001,0.013884143537545208,0.6331252319,0.81377784,0.7534600599999999,0.6197696119000001,0.6669159769,300
echo 300 | python 18.py,0.1029578483516129,0.005725198362660377,0.10364292490000002,0.20034832709677422,0.43050473419354823,0.0922953979,0.11806837790000001,300
echo 400 | python 17.py,1.0200185267,0.014900831290948107,1.0201700664,1.19712804,0.8126420599999999,0.9973197579000002,1.0521342399,400
echo 400 | python 18.py,0.10902066052068966,0.0066083902916131195,0.1098994689,0.21073538827586205,0.46713854620689665,0.09851932590000001,0.1236661029,400
echo 500 | python 17.py,1.5357380514,0.028947855626788758,1.5300555179,1.7160235400000001,0.82416186,1.4988882689,1.5843746349,500
echo 500 | python 18.py,0.11851509462000002,0.0054463129534612405,0.1182970009,0.23580197999999997,0.50501096,0.11001147490000002,0.1308963669,500
echo 600 | python 17.py,2.1679562225,0.03975952792671661,2.1499120213999996,2.36199894,0.80597586,2.1304008169,2.2575346959,600
echo 600 | python 18.py,0.12956250235833336,0.00637726261926861,0.1297321829,0.25694748166666664,0.575028585,0.12022209090000001,0.1399390139,600
echo 700 | python 17.py,2.9207942217999996,0.052039562247493905,2.9429945764,3.095124539999999,0.8343883599999999,2.8367872418999998,2.9947541369,700
echo 700 | python 18.py,0.14172021730909093,0.006651746512479126,0.1402044794,0.2932009854545454,0.637606050909091,0.1334300849,0.1569570749,700
echo 800 | python 17.py,3.7638270321999996,0.06820631444514076,3.7598828263999997,3.9456404399999996,0.8327195600000001,3.6713230739,3.8528316039,800
echo 800 | python 18.py,0.16201321132105262,0.012180838107463952,0.1628662549,0.32320904526315786,0.7384072231578946,0.1475295969,0.18923529990000001,800
echo 900 | python 17.py,4.7266398808000005,0.09754819600297844,4.7244821334000004,4.901154839999999,0.8227474599999999,4.5685080039,4.9190207079,900
echo 900 | python 18.py,0.18389680213529414,0.022699482721606965,0.1747831929,0.3715512341176471,0.8077499011764706,0.1679769889,0.2529612009,900
echo 1000 | python 17.py,5.8794891565,0.07338018760515011,5.8737247854,6.07485834,0.7819552599999999,5.7924909839,5.9837331409,1000
echo 1000 | python 18.py,0.1997149317,0.013389442496417516,0.1979189709,0.3929562066666666,0.8420498266666667,0.1831464349,0.2375803109,1000
